書名,作者,出版社,出版日期,ISBN/EAN,product_id
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧 (附限量納瓦爾最新智慧語錄拉頁)","謝佩妏,艾瑞克．喬根森,Eric Jorgenson,傑克．布徹,Jack Butcher",天下雜誌股份有限公司,2025-02-04,4717211037577,10012030392682827161003
日花閃爍: 台語的美麗詞彙&一百首詩,温若喬,時報文化出版企業股份有限公司,2026-01-05,9786264199926,10012010632683056251008
在小山和小山之間: 故事大爆炸年度首獎之作,李停,悅知文化,2026-01-25,9786267721834,10012122082683075462003
別再騙自己: 把日子過得更清醒的101個提示,"七七,西蒙．吉勒姆,Happieslin,Simon Gilham",三采文化股份有限公司,2025-09-04,9786263587564,10012014082682972728007
"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。",李勁,大是文化有限公司,2018-06-27,9789579164337,1001191562686239
"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康","妮可．維諾拉,梁永安,Nicole Vignola",麥田出版社,2024-05-31,9786263106659,10012013192682577301001
少年臺灣史 (2019年增訂版),"許書寧,周婉窈",玉山社出版事業股份有限公司,2019-09-19,9789862942420,1003119012795098
"全新! 新制多益TOEIC單字大全: 備考多益唯一推薦權威單字書! 不論題型如何變化, 內容持續更新, 常考字彙表達完全掌握, 準確度最高! (附QR碼)","데이비드 조,許竹瑩/ 張育菁,David Cho",國際學村出版社,2022-08-03,9789864542284,1001260442682214680001
"刪掉容易, 忘掉很難",林思齊,時報文化出版企業股份有限公司,2026-01-19,9786264441049,10012010632683071128002
"這僅有一次的人生, 一定要讀蘇東坡: 不管你遇到了什麼, 一句蘇東坡就能療癒。",費勇,大是文化有限公司,2023-01-29,9786267192870,1001191562682321418009
惡靈剋星 6 (首刷限定版),"新翔子,羅筱君",東立出版社有限公司,2026-02-04,9786260263294,10012150962683074431000
海邊的房間,黃麗群,時報文化出版企業股份有限公司,2024-07-29,9786263965126,10012010632682600065009
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧","謝佩妏,艾瑞克．喬根森,Eric Jorgenson",天下雜誌股份有限公司,2024-01-03,9789863989493,10012030392682502174007
SAKAMOTO DAYS坂本日常 24 (首刷限定版),"陳姿君,鈴木祐斗",東立出版社有限公司,2026-03-01,9786260267087,10012150962683087745002
原子習慣: 細微改變帶來巨大成就的實證法則,"詹姆斯．克利爾,蔡世偉,James Clear",方智出版社股份有限公司,2019-05-31,9789861755267,1001112702764163
擁有過 就好: 告別青春的最後一封情書,黃山料,三采文化股份有限公司,2025-11-30,9786263587922,10012014082683030027001
SPY X FAMILY間諜家家酒 16 (首刷限定版),"陳姿君,遠藤達哉",東立出版社有限公司,2026-02-11,9786260267070,10012150962683072484008
"從破產人生逆襲到財務自由: 你一定要懂的財商真相, 36個翻轉心法把人生找回來",李文森,時報文化出版企業股份有限公司,2026-02-09,9786264442312,10012010632683083731009
"世界盡頭的咖啡館: 這一生, 我為何而存在?","Elsa,約翰．史崔勒基,John Strelecky",三采文化股份有限公司,2025-02-26,9786263585959,10012014082682834236008
蛤蟆先生去看心理師 (附蛤蟆先生勇氣藏書卡組),"張美惠,Robert de Board,Dinner Illustration,羅伯．狄保德",三采文化股份有限公司,2022-01-25,9789576587399,1001119732682122365007
王思迅人生講座套書: 易經白話講座+金剛經白話講座 (2冊合售),王思迅,如果出版,2025-09-09,9786267752388,10012117772682988580002
鏈鋸人 22 (首刷限定版),"吳勵誠,藤本樹",東立出版社有限公司,2026-02-05,9786260265595,10012150962683070404008
窮查理的普通常識: 巴菲特50年智慧合夥人查理．蒙格的人生哲學 (紀念典藏版),"Charles T. Munger,查理．蒙格,Peter Kaufman,彼得．考夫曼,李彔/ 李繼宏/ 編譯",商業周刊,2024-04-29,9786267366882,10012172932682559368008
"勇敢告別的人, 生活會獎勵一場新的開始",Peter Su,是日創意文化有限公司,2025-11-29,9786269256778,10012030392683039753000
請解開故事謎底 5 (2026珍愛特裝組),"花於景 (雷雷夥伴),PP",魔豆文化有限公司,2026-02-10,4711099774371,10012084862683085270001
擁有過 就好: 告別青春的最後一封情書 (限量親簽版),黃山料,三采文化股份有限公司,2025-11-30,4711528700902,10012014082683030028008
學校不會教的人生課: 怡慧老師的實踐成長學 (誠品獨家書衣親簽版),宋怡慧,平安文化有限公司,2026-03-01,1000007859075,10012020052683094668004
"持續買進: 資料科學家的投資終極解答, 存錢及致富的實證方法","Nick Maggiulli,李芳齡,尼克．馬朱利",商業周刊,2023-05-29,9786267252710,1001247312682383434009
"最新! 新制TOEIC多益閱讀題庫解析: 最新收錄精準10回模擬試題! 每月進場實測分析、完整傳授答題技巧, 黃金證書手到擒來! (附單字音檔下載QRCode/2冊合售)","Hackers Academia,Tina",國際學村出版社,2024-07-03,9789864543687,10012016082682596274003
我可能錯了: 森林智者的最後一堂人生課,"Björn Natthiko Lindeblad/ Caroline Bankler/ Navid Modiri,郭騰堅,Tomás Sánchez,比約恩．納提科．林德布勞/ 卡洛琳．班克勒/ 納維德．莫迪里",先覺出版股份有限公司,2023-01-31,9789861344454,1001124182682324108006
紀律長贏: 揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,遠見天下文化出版股份有限公司,2026-01-29,9786264177443,10012030542683076169000
金剛經白話講座: 放下的人生修行,王思迅,如果出版,2025-07-27,9786267752111,10012117772682949728009
"看穿內心情緒的行為暗示心理學: 頂尖心理學家證實, 99%人能看透的50招讀心術","郭欣怡,內藤誼人",方言文化出版事業有限公司,2018-04-10,9789869617550,1001183572666954
喔! 原來我們都痛裡學會了愛,陳薇,是日創意文化有限公司,2026-02-05,9786269256792,10012030392683078702007
臺灣歷史圖說,周婉窈,聯經出版事業股份有限公司,2025-10-01,9789570878059,10012010042683011783001
請解開故事謎底 5,"PP,花於景",魔豆文化有限公司,2026-02-03,9786267542408,10012046692683085141004
把日子慢慢變好,黃山料,三采文化股份有限公司,2024-10-31,9786263585003,10012014082682657441009
特殊傳說 III 11 (2026珍愛特裝組),"護玄,紅麟",蓋亞文化有限公司,2026-02-10,4711099774364,10012084862683085265007
"富爸爸, 窮爸爸 (25週年紀念版)","MTS翻譯團隊,羅勃特．T．清崎,Robert T. Kiyosaki",英屬維京群島商高寶國際有限公司台灣分公司,2022-09-13,9789865064679,1001123032682251788005
葬送的芙莉蓮 15,"阿部司,里歐貝萊,山田鐘人/ 原作; 阿部司",東立出版社有限公司,2026-01-28,9786260267278,10012150962683070415004
被討厭的勇氣: 自我啟發之父阿德勒的教導,"岸見一郎/ 古賀史健,葉小燕",究竟出版社股份有限公司,2014-10-29,9789861371955,1001136022367152
